athlete_id,age,team_id,game_id,sport_id,event_id,medal
5,21,705,37,5,5,
5,21,705,37,5,6,
5,25,705,39,5,5,
5,25,705,39,5,6,
5,27,705,41,5,5,
5,27,705,41,5,6,
6,31,1096,39,6,7,
6,31,1096,39,6,8,
6,31,1096,39,6,9,
6,31,1096,39,6,10,
6,33,1096,41,6,7,
6,33,1096,41,6,11,
6,33,1096,41,6,9,
6,33,1096,41,6,10,
7,31,1096,39,6,7,
7,31,1096,39,6,8,
7,31,1096,39,6,9,
7,31,1096,39,6,10,
7,33,1096,41,6,7,
7,33,1096,41,6,11,
7,33,1096,41,6,9,
7,33,1096,41,6,10,
9,26,350,45,8,14,
11,22,350,33,6,11,
14,32,350,41,12,18,
16,28,350,51,8,14,B
20,20,742,39,15,31,
20,20,742,39,15,32,G
20,20,742,39,15,33,B
20,20,742,39,15,34,
20,22,742,41,15,31,S
20,22,742,41,15,32,B
20,22,742,41,15,33,
20,22,742,41,15,34,
20,22,742,41,15,35,S
20,26,742,43,15,31,
20,26,742,43,15,32,
20,26,742,43,15,33,
20,26,742,43,15,35,
20,30,742,45,15,31,
20,30,742,45,15,32,G
20,30,742,45,15,33,
20,30,742,45,15,34,
20,30,742,45,15,35,G
20,34,742,47,15,31,
20,34,742,47,15,32,G
24,24,742,23,5,39,
24,24,742,23,5,40,
24,27,742,25,5,40,
26,17,742,35,19,42,
35,24,742,43,23,51,
40,23,742,18,5,40,B
40,27,742,20,5,40,
40,27,742,20,5,59,
40,31,742,23,5,40,G
40,31,742,23,5,59,
40,31,742,23,5,60,
44,25,331,43,6,11,
44,25,331,43,6,8,
44,29,331,45,6,63,
44,29,331,45,6,8,
44,29,331,45,6,10,
121,23,770,49,15,33,
126,20,496,51,15,121,
137,15,507,25,34,126,
137,19,507,27,34,126,
145,24,1096,49,34,126,
145,28,1096,51,34,126,
145,28,1096,51,34,130,B
363,24,515,29,23,203,
363,24,515,29,23,51,
363,28,515,31,23,203,
363,28,514,31,23,51,
367,22,514,37,41,205,
367,22,514,37,41,206,
367,26,514,39,41,206,
367,28,514,41,41,205,G
367,28,514,41,41,206,
391,23,1096,8,8,14,S
392,35,174,18,8,14,G
393,19,1150,31,41,206,
393,23,1150,33,41,206,
407,26,45,33,12,225,
407,26,45,33,12,226,
407,26,45,33,12,227,
415,23,1012,39,44,228,
422,34,1098,37,19,42,
422,38,1098,39,19,42,
422,40,1098,41,19,42,
422,44,1098,43,19,42,
422,48,1098,45,19,42,
426,29,1019,18,15,121,
448,22,364,43,34,243,
452,22,1084,45,44,244,
452,26,1084,47,44,244,
452,30,1084,49,44,244,
462,19,567,43,15,247,
463,17,567,51,15,248,
463,17,567,51,15,247,
463,17,567,51,15,121,
466,25,982,37,6,249,
466,25,982,37,6,250,
466,25,982,37,6,251,
499,22,576,39,15,33,
499,22,576,39,15,34,
522,25,742,37,41,206,
523,19,742,33,8,14,
523,23,742,35,8,14,
526,24,1012,29,8,14,
529,31,1012,10,8,14,S
530,24,1012,29,8,14,
532,17,395,47,15,33,
532,17,395,47,15,34,
532,21,395,49,15,33,
532,21,395,49,15,34,
532,25,395,51,15,33,
532,25,395,51,15,34,
534,17,1084,47,44,244,
534,21,1084,49,44,244,
534,25,1084,51,44,244,
535,22,93,49,12,225,
535,22,93,49,12,259,
535,22,93,49,12,226,
535,22,93,49,12,227,
535,26,93,51,12,225,
535,26,93,51,12,260,
535,26,93,51,12,259,
535,26,93,51,12,226,
535,26,93,51,12,227,
539,23,395,41,15,34,
539,27,395,43,15,34,
544,34,874,41,8,14,
548,23,874,47,5,6,
548,23,874,47,5,265,
548,23,874,47,5,266,B
548,27,874,49,5,265,
549,29,246,47,6,267,
549,29,246,47,6,63,
550,27,876,49,23,203,
550,27,875,49,23,51,
559,16,154,41,34,269,
561,26,399,41,41,205,
561,26,399,41,41,206,
562,21,810,39,5,39,
562,21,810,39,5,270,
562,27,810,43,5,39,
562,27,810,43,5,270,
562,31,810,45,5,39,
562,31,810,45,5,270,
586,31,399,45,8,14,
588,25,874,45,34,126,
633,24,1019,41,15,121,
633,28,1019,43,15,121,
