city_id,city,country
1,Athens,Greece
2,Albertville,France
3,Amsterdam,Netherlands
4,Antwerpen,Belgium
5,Atlanta,U.S.
6,Barcelona,Spain
7,Beijing,China
8,Berlin,Germany
9,Calgary,Canada
10,Chamonix,France
11,Cortina d'Ampezzo,Italy
12,Garmisch-Partenkirchen,Germany
13,Grenoble,France
14,Helsinki,Finland
15,Innsbruck,Austria
16,Lake Placid,U.S.
17,Lillehammer,Norway
18,London,UK
19,Los Angeles,U.S.
20,Melbourne,Canada
21,Mexico City,Mexico
22,Montreal,Canada
23,Moskva,Russia
24,Munich,Germany
25,Nagano,Japan
26,Oslo,Norway
27,Paris,France
28,Rio de Janeiro,Brazil
29,Roma,Italy
30,Salt Lake City,U.S.
31,Sankt Moritz,Switzerland
32,Sapporo,Japan
33,Sarajevo,Bosnia and Herzegovina
34,Seoul,South Korea
35,Sochi,Russia
36,Squaw Valley,U.S.
37,St. Louis,U.S.
38,Stockholm,Sweden
39,Sydney,Australia
40,Tokyo,Japan
41,Torino,Italy
42,Vancouver,Canada
