game_id,year,season,city_id
1,1896,Summer,1
2,1900,Summer,27
3,1904,Summer,37
4,1906,Summer,1
5,1908,Summer,18
6,1912,Summer,38
7,1920,Summer,4
8,1924,Summer,27
9,1924,Winter,10
10,1928,Summer,3
11,1928,Winter,31
12,1932,Summer,19
13,1932,Winter,16
14,1936,Summer,8
15,1936,Winter,12
16,1948,Summer,18
17,1948,Winter,31
18,1952,Summer,14
19,1952,Winter,26
20,1956,Summer,20
21,1956,Summer,38
22,1956,Winter,11
23,1960,Summer,29
24,1960,Winter,36
25,1964,Summer,40
26,1964,Winter,15
27,1968,Summer,21
28,1968,Winter,13
29,1972,Summer,24
30,1972,Winter,32
31,1976,Summer,22
32,1976,Winter,15
33,1980,Summer,23
34,1980,Winter,16
35,1984,Summer,19
36,1984,Winter,33
37,1988,Summer,34
38,1988,Winter,9
39,1992,Summer,6
40,1992,Winter,2
41,1994,Winter,17
42,1996,Summer,5
43,1998,Winter,25
44,2000,Summer,39
45,2002,Winter,30
46,2004,Summer,1
47,2006,Winter,41
48,2008,Summer,7
49,2010,Winter,42
50,2012,Summer,18
51,2014,Winter,35
52,2016,Summer,28
