name,medal,city,noc,year,sport,event,gender,height,weight
AALERUD Katrine,,Tokyo,NOR,2020,Cycling Road,Women's Road Race,F,,
AALERUD Katrine,,Tokyo,NOR,2020,Cycling Road,Women's Individual Time Trial,F,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's All-Around,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Floor Exercise,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Pommel Horse,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Rings,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Vault,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Parallel Bars,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Horizontal Bar,M,,
ABAD Nestor,,Tokyo,ESP,2020,Artistic Gymnastics,Men's Team,M,,
ABAGNALE Giovanni,,Tokyo,ITA,2020,Rowing,Men's Pair Team,M,,
ABALDE Alberto,,Tokyo,ESP,2020,Basketball,Men Team,M,,
ABALDE Tamara,,Tokyo,ESP,2020,Basketball,Women Team,F,,
ABALO Luc,G,Tokyo,FRA,2020,Handball,Men Team,M,,
ABAROA Cesar,,Tokyo,CHI,2020,Rowing,Lightweight Men's Double Sculls Team,M,,
ABASS Abobakr,,Tokyo,SUD,2020,Swimming,Men's 100m Breaststroke,M,,
ABBAGNALE Vincenzo,,Tokyo,ITA,2020,Rowing,Men's Pair Team,M,,
ABBASALI Hamideh,,Tokyo,IRI,2020,Karate,Women's Kumite +61kg,F,,
ABBASOV Islam,,Tokyo,AZE,2020,Wrestling,Men's Greco-Roman 87kg,M,,
ABBINGH Lois,,Tokyo,NED,2020,Handball,Women Team,F,,
ABBOT Emily,,Tokyo,AUS,2020,Rhythmic Gymnastics,Group All-Around Team,F,,
ABBOTT Monica,S,Tokyo,USA,2020,Baseball/Softball,Softball Team,F,,
ABDALLA Abubaker Haydar,,Tokyo,QAT,2020,Athletics,Men's 800m,M,,
ABDALRASOOL Mohamed,,Tokyo,SUD,2020,Judo,Men -73 kg,M,,
ABDEL LATIF Radwa,,Tokyo,EGY,2020,Shooting,10m Air Pistol Women,F,,
ABDEL LATIF Radwa,,Tokyo,EGY,2020,Shooting,10m Air Pistol Mixed Team,F,,
ABDEL RAZEK Samy,,Tokyo,EGY,2020,Shooting,10m Air Pistol Men,M,,
ABDEL RAZEK Samy,,Tokyo,EGY,2020,Shooting,10m Air Pistol Mixed Team,M,,
ABDELAAL Mohamed,,Tokyo,EGY,2020,Judo,Men -81 kg,M,,
ABDELAZIZ Abdalla,,Tokyo,EGY,2020,Karate,Men's Kumite -75kg,M,,
ABDELAZIZ Farah,,Tokyo,EGY,2020,Table Tennis,Women's Team,F,,
ABDELAZIZ Feryal,G,Tokyo,EGY,2020,Karate,Women's Kumite +61kg,F,,
ABDELMAWGOUD Mohamed,,Tokyo,EGY,2020,Judo,Men -66 kg,M,,
ABDELMOTTALEB Diaaeldin Kamal Gouda,,Tokyo,EGY,2020,Wrestling,Men's Freestyle 125kg,M,,
ABDELRAHMAN Ihab,,Tokyo,EGY,2020,Athletics,Men's Javelin Throw,M,,
ABDELSALAM Mohamed,,Tokyo,EGY,2020,Football,Men Team,M,,
ABDELSALAM Nour,,Tokyo,EGY,2020,Taekwondo,Women -49kg,F,,
ABDELWAHED Ahmed,,Tokyo,ITA,2020,Athletics,Men's 3000m Steeplechase,M,,
ABDI Bashir,B,Tokyo,BEL,2020,Athletics,Men's Marathon,M,,
ABDIRAHMAN Abdi,,Tokyo,USA,2020,Athletics,Men's Marathon,M,,
ABDUL HADI Farah Ann,,Tokyo,MAS,2020,Artistic Gymnastics,Women's All-Around,F,,
ABDUL HADI Farah Ann,,Tokyo,MAS,2020,Artistic Gymnastics,Women's Vault,F,,
ABDUL HADI Farah Ann,,Tokyo,MAS,2020,Artistic Gymnastics,Women's Uneven Bars,F,,
ABDUL HADI Farah Ann,,Tokyo,MAS,2020,Artistic Gymnastics,Women's Balance Beam,F,,
ABDUL HADI Farah Ann,,Tokyo,MAS,2020,Artistic Gymnastics,Women's Floor Exercise,F,,
ABDUL RAHMAN Kiria Tikanah,,Tokyo,SGP,2020,Fencing,Women's Épée Individual,F,,
ABDUL RAZZAQ Fathimath Nabaaha,,Tokyo,MDV,2020,Badminton,Women's Singles,F,,
ABDULHAMID Saud,,Tokyo,KSA,2020,Football,Men Team,M,,
ABDULJABBAR Ammar Riad,,Tokyo,GER,2020,Boxing,Men's Heavy (81-91kg),M,,
