name,medal,city,noc,year,sport,event,gender,height,weight
Artur Aleksanyan,S,Paris,ARM,2024,Wrestling,Men's Greco-Roman 97kg,M,,
Malkhas Amoyan,B,Paris,ARM,2024,Wrestling,Men's Greco-Roman 77kg,M,,
Slavik Galstyan,,Paris,ARM,2024,Wrestling,Men's Greco-Roman 67kg,M,,
Arsen Harutyunyan,,Paris,ARM,2024,Wrestling,Men's Freestyle 57kg,M,,
Vazgen Tevanyan,,Paris,ARM,2024,Wrestling,Men's Freestyle 65kg,M,,
Lorena Arenas,,Paris,COL,2024,Athletics,Women's 20km Race Walk,F,,
Lorena Arenas,,Paris,COL,2024,Athletics,Marathon Race Walk Relay Mixed,F,,
McKENZIE Ashley,,Paris,JAM,2024,Judo,Men -60 kg,M,,
Mariam Bass,,Paris,GAM,2024,Athletics,Women's 100m,F,,
Mariam Bass,,Paris,GAM,2024,Athletics,Women's 200m,F,,
Ebrahima Camara,,Paris,GAM,2024,Athletics,Men's 100m,M,,
Lizeth Rueda,,Paris,MEX,2024,Triathlon,Women's Individual,F,,
Maria Tapia,,Paris,MEX,2024,Triathlon,Women's Individual,F,,
Crisanto Grajales,,Paris,MEX,2024,Triathlon,Men's Individual,M,,
Hachim Maaroufou,,Paris,COM,2024,Athletics,Men's 100m,M,,
Maesha Saadi,,Paris,COM,2024,Swimming,Women's 50m Freestyle,F,,
Nuria Diosdado,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Nuria Diosdado,,Paris,MEX,2024,Artistic Swimming,Duet,F,,
Joana Jimenez,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Joana Jimenez,,Paris,MEX,2024,Artistic Swimming,Duet,F,,
Jessica Sobrino,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Regina Alferez,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Fernanda Arellano,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Pamela Toscano,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Itzamary Gonzalez,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Samanta Rodriguez,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Glenda Inzunza,,Paris,MEX,2024,Artistic Swimming,Team,F,,
Sajjad Sehen,,Paris,IRQ,2024,Judo,Men -81 kg,M,,
Yusur Rubaiawi,,Paris,IRQ,2024,Weightlifting,Men's +102kg,M,,
Mohamed Ismail,,Paris,DJI,2024,Athletics,Men's 5000m,M,,
Ibrahim Hassan,,Paris,DJI,2024,Athletics,Men's Marathon,M,,
Abdi Waiss,,Paris,DJI,2024,Athletics,Men's 5000m,M,,
Samiyah Hassan,,Paris,DJI,2024,Athletics,Women's 5000m,F,,
Houmed Houssein,,Paris,DJI,2024,Swimming,Men's 50m Freestyle,M,,
Andy Barat,,Paris,COM,2024,Canoe Slalom,Men's Kayak Single,M,,
Andy Barat,,Paris,COM,2024,Canoe Slalom,Men's Kayak Cross,M,,
Angel Martinez,,Paris,MEX,2024,Boxing,Men's 63.5kg,M,,
Alonso Verde,S,Paris,MEX,2024,Boxing,Men's 71kg,M,,
Alegna Gonzalez,,Paris,MEX,2024,Athletics,Women's 20km Race Walk,F,,
Alegna Gonzalez,,Paris,MEX,2024,Athletics,Marathon Race Walk Relay Mixed,F,,
