athlete_id,age,team_id,game_id,sport_id,event_id,medal
29,22,705,37,21,45,B
57,24,154,37,27,69,
106,22,507,37,22,112,G
107,26,507,37,22,114,G
108,29,507,37,22,114,G
117,22,576,37,7,116,
117,22,576,37,7,119,
197,28,308,37,18,152,
199,27,308,37,1,1,
248,19,15,37,7,119,
254,21,287,37,7,144,
267,19,308,37,33,110,
267,19,308,37,33,173,
270,23,308,37,1,1,
289,17,621,37,7,142,
307,23,741,37,7,119,
322,20,308,37,9,53,
326,NA,1094,37,9,186,
326,NA,1094,37,9,108,
326,NA,1094,37,9,150,
326,NA,1094,37,9,187,
326,NA,1094,37,9,188,
326,NA,1094,37,9,54,
334,28,722,37,32,192,
348,19,556,37,7,101,
360,24,978,37,29,75,
373,25,514,37,22,98,
381,23,15,37,27,82,
408,37,982,37,7,142,
417,17,1012,37,9,179,
435,19,302,37,30,146,
436,22,1070,37,3,3,
437,18,497,37,3,3,
464,25,621,37,7,67,
485,21,497,37,27,158,
487,NA,721,37,7,142,
490,23,587,37,7,181,
507,21,477,37,31,235,B
507,21,477,37,31,87,G
512,23,487,37,7,257,
512,23,487,37,7,246,
546,21,978,37,9,179,
546,21,978,37,9,231,
552,32,440,37,29,202,
555,20,816,37,7,119,
555,20,816,37,7,143,
557,26,816,37,7,67,
573,24,362,37,18,152,
585,24,1096,37,7,167,
587,26,1150,37,7,278,
587,26,1150,37,7,246,
603,24,537,37,17,118,
622,19,526,37,24,57,
644,22,1121,37,7,12,
644,22,1121,37,7,175,
673,29,683,37,27,92,B
674,23,683,37,27,174,
684,32,308,37,7,29,
691,20,172,37,7,268,
691,20,172,37,7,257,
694,18,1083,37,7,175,
694,18,1083,37,7,13,
695,24,138,37,32,93,
763,23,656,37,7,67,
773,19,308,37,33,110,
773,19,308,37,33,173,
779,35,537,37,26,156,
779,35,537,37,26,155,
782,32,645,37,18,38,
782,32,645,37,18,172,
784,30,1150,37,11,44,
788,29,259,37,26,94,
822,20,885,37,7,181,
830,29,413,37,2,80,
831,21,825,37,27,335,
835,43,66,37,26,156,
835,43,66,37,26,155,
854,30,511,37,7,142,
859,27,722,37,2,80,
862,23,799,37,7,278,
863,20,962,37,7,74,
889,24,404,37,7,13,
899,30,722,37,27,111,
901,26,722,37,18,347,
918,28,138,37,3,3,S
919,21,287,37,7,50,
922,26,962,37,7,50,
923,19,722,37,7,104,
923,19,722,37,7,148,
923,19,722,37,7,67,
932,24,722,37,3,3,
936,28,722,37,7,104,
936,28,722,37,7,148,
936,28,722,37,7,67,
937,NA,724,37,40,346,
965,24,138,37,11,96,
966,30,138,37,11,44,
981,22,1150,37,11,369,
997,22,1012,37,2,80,
1019,37,491,37,26,233,
1019,37,491,37,26,234,
1027,25,413,37,2,312,
1043,22,1019,37,7,175,
1080,18,496,37,18,168,
1103,21,770,37,7,104,
1103,21,770,37,7,148,
1103,21,770,37,7,143,
1140,23,448,37,32,192,
1156,18,477,37,9,185,
1156,18,477,37,9,292,
1166,30,624,37,37,135,
1182,23,816,37,7,104,
1182,23,816,37,7,67,
1187,18,825,37,27,82,
1206,29,1150,37,22,112,
1219,28,45,37,3,3,
1223,23,1054,37,27,69,
1224,22,982,37,29,75,
1231,27,45,37,22,79,
1235,26,1150,37,13,21,
1235,26,1150,37,13,22,
1235,26,1150,37,13,23,
1235,26,1150,37,13,24,
1235,26,1150,37,13,25,
1235,26,1150,37,13,26,
1235,26,1150,37,13,27,
1235,26,1150,37,13,28,
1259,18,236,37,9,349,
1259,18,236,37,9,231,
1260,28,198,37,7,142,
1287,21,982,37,22,157,
1368,21,770,37,7,143,
1384,26,587,37,7,148,
1384,26,587,37,7,116,
1397,24,497,37,3,3,
1400,25,770,37,21,120,
1402,20,770,37,21,120,
1414,20,770,37,21,120,
1420,20,976,37,7,104,
1433,18,350,37,18,136,
1506,19,45,37,3,3,
1523,21,15,37,16,88,
1544,27,1150,37,9,179,
1544,27,1150,37,9,231,
1544,27,1150,37,9,169,
1544,27,1150,37,9,171,
1565,22,1071,37,18,193,
1569,29,413,37,7,115,
1569,29,413,37,7,143,
1574,23,514,37,18,204,
1578,20,722,37,40,176,
1578,20,722,37,40,177,
1582,28,537,37,21,120,
1608,28,1012,37,24,105,
1609,29,1012,37,24,56,
1609,29,1012,37,24,105,
1638,25,537,37,27,335,
1660,33,978,37,7,97,
1665,27,770,37,21,120,
1686,22,413,37,27,73,
1691,23,514,37,43,261,
1702,19,404,37,7,67,
1703,24,1054,37,27,174,
1705,18,1033,37,7,144,
1738,26,1071,37,7,278,
1756,27,514,37,7,144,
1769,NA,1094,37,29,209,
1783,21,899,37,7,163,
1792,NA,1094,37,9,15,
1792,NA,1094,37,9,186,
1792,NA,1094,37,9,108,
1812,24,556,37,24,56,
1812,24,556,37,24,105,
1815,15,576,37,17,149,
1816,17,576,37,17,77,
1824,21,1026,37,18,165,
1827,20,758,37,7,119,
1827,20,758,37,7,143,
1828,29,556,37,27,159,
1830,NA,758,37,27,111,
1833,23,556,37,7,117,
1839,23,899,37,7,104,
1839,23,899,37,7,148,
1847,32,758,37,26,147,
1864,23,81,37,7,167,
1870,27,899,37,7,50,
1870,27,899,37,7,167,
1880,26,899,37,7,101,
1880,26,899,37,7,115,
1881,NA,81,37,33,110,
1881,NA,81,37,33,173,
1881,NA,81,37,24,57,
1881,NA,81,37,24,58,
1884,25,556,37,7,115,
1887,24,526,37,40,176,
1918,23,741,37,18,254,
1923,18,758,37,7,116,
1923,18,758,37,7,143,
1931,17,556,37,24,57,
1931,17,556,37,24,58,
1933,24,556,37,2,308,
1937,15,741,37,7,74,
1944,NA,758,37,27,69,
1945,22,556,37,24,105,
1948,NA,899,37,26,102,
1970,20,899,37,37,263,
1981,30,831,37,11,449,
1994,30,758,37,7,104,
1994,30,758,37,7,148,
1994,30,758,37,7,143,
2014,24,831,37,7,67,
2031,25,758,37,7,116,
2031,25,758,37,7,143,
2039,19,556,37,24,57,
2039,19,556,37,24,58,
2042,25,526,37,18,152,
2042,25,526,37,18,204,
2049,27,556,37,22,378,
2057,NA,556,37,24,58,
2061,18,556,37,27,82,
2068,18,556,37,27,174,
2071,22,556,37,2,91,
2086,18,556,37,9,53,
2086,18,556,37,9,188,
2086,18,556,37,9,189,
2089,25,899,37,7,198,
2095,23,899,37,7,116,
2095,23,899,37,7,119,
2116,16,1094,37,9,387,
2116,16,1094,37,9,19,
2116,16,1094,37,9,54,
2133,27,758,37,7,142,
2150,21,556,37,9,123,
2150,21,556,37,9,107,
2151,NA,831,37,26,64,
2153,20,741,37,18,152,
2154,22,1026,37,18,172,
2156,28,556,37,2,80,
2164,23,831,37,7,68,
2175,16,556,37,24,56,
2175,16,556,37,24,105,
2181,18,556,37,30,279,
2196,19,556,37,7,181,
2201,34,556,37,7,29,
2209,23,154,37,18,172,
2217,24,350,37,7,70,
2231,26,86,37,7,148,
2231,26,86,37,7,67,
2262,26,982,37,22,208,
2263,25,982,37,22,157,
2264,19,656,37,9,186,
2264,19,656,37,9,108,
2273,27,106,37,7,104,
2273,27,106,37,7,148,
2273,27,106,37,7,67,
2282,23,225,37,29,209,
2310,24,982,37,7,144,
2333,24,174,37,21,120,
2392,19,816,37,9,186,
2392,19,816,37,9,52,
2395,23,825,37,11,449,
2397,16,656,37,30,219,
2397,16,656,37,30,146,
2401,31,982,37,7,332,
2427,21,982,37,29,209,
2451,27,511,37,29,382,
2456,26,799,37,17,447,
2468,26,291,37,40,176,
2510,18,978,37,9,19,
2519,21,154,37,22,98,
2527,21,982,37,29,75,
2548,20,66,37,9,415,
2548,20,66,37,9,171,
2555,19,419,37,43,261,
2567,24,413,37,29,202,
2589,28,362,37,2,91,G
2590,25,45,37,29,252,
2612,23,45,37,3,3,
2644,23,799,37,24,153,
2645,30,111,37,32,192,
2657,30,497,37,40,281,
2694,29,770,37,21,120,
2706,18,487,37,32,192,
2709,24,287,37,11,449,
2718,25,770,37,7,181,
2744,25,362,37,20,43,
2761,26,888,37,27,191,
2780,26,491,37,24,56,
2791,26,978,37,18,400,
2800,44,413,37,26,180,S
2800,44,413,37,26,64,
2819,28,497,37,3,3,
2860,16,66,37,13,213,
2860,16,66,37,13,215,
2860,16,66,37,13,216,
2860,16,66,37,13,217,
2860,16,66,37,13,218,
2896,28,722,37,7,68,
2898,25,507,37,13,21,
2898,25,507,37,13,22,
2898,25,507,37,13,23,
2898,25,507,37,13,24,
2898,25,507,37,13,25,
2898,25,507,37,13,26,
2898,25,507,37,13,27,
2898,25,507,37,13,28,
2908,23,440,37,27,191,
2933,20,1033,37,27,174,
2983,23,742,37,31,87,
3017,25,138,37,3,3,S
3020,39,138,37,22,114,
3023,25,982,37,7,221,
3032,31,982,37,7,115,
3071,28,978,37,24,153,
3071,28,978,37,24,106,S
3089,30,1096,37,22,112,
3099,21,1150,37,22,245,
3112,28,45,37,21,120,
3114,30,1071,37,7,142,
3119,29,537,37,21,120,
3161,21,982,37,31,87,
3166,40,656,37,26,180,
3166,40,656,37,26,64,
3176,41,982,37,25,62,
3176,41,982,37,25,403,
3180,28,291,37,40,281,
3180,28,291,37,40,346,
3229,28,477,37,27,73,
3230,25,1096,37,29,209,
3232,20,794,37,9,150,
3232,20,794,37,9,187,
3233,26,618,37,29,202,
3233,26,618,37,29,252,
3244,23,308,37,17,149,
3265,25,1096,37,18,255,
3305,50,138,37,26,233,
3305,50,138,37,26,234,
3313,22,656,37,27,90,
3321,26,362,37,26,180,
3321,26,362,37,26,64,
3330,29,138,37,38,137,
3354,30,184,37,7,142,
3370,29,507,37,25,128,
3370,29,507,37,25,129,
3374,15,1178,37,22,114,
3401,22,308,37,9,186,
3401,22,308,37,9,150,
3406,21,308,37,9,107,
3406,21,308,37,9,185,
3406,21,308,37,9,186,
3434,26,722,37,7,143,
3446,26,503,37,11,96,
3451,25,496,37,29,75,
3459,23,233,37,29,75,
3459,23,233,37,29,209,
3465,23,770,37,21,120,
3497,24,236,37,7,142,
3502,19,138,37,9,349,
3502,19,138,37,9,350,
3502,19,138,37,9,368,
3502,19,138,37,9,231,
3506,18,982,37,39,383,
3525,24,302,37,29,75,
3525,24,302,37,29,209,G
3538,36,487,37,32,93,
3539,34,487,37,32,192,
3539,34,487,37,32,93,
3555,25,742,37,31,439,
3567,26,970,37,2,80,
3568,21,970,37,26,147,
3574,25,970,37,18,280,B
3585,23,972,37,40,346,B
3602,24,970,37,29,290,
3613,22,138,37,38,164,
3625,21,154,37,22,285,
3652,27,1178,37,16,36,
3656,25,656,37,37,263,
3656,25,656,37,37,264,
3716,27,742,37,7,319,
3716,27,742,37,7,332,
3723,25,742,37,7,29,
3754,29,742,37,16,36,S
3788,34,742,37,7,103,
3801,25,138,37,29,252,
3801,25,138,37,29,290,
3807,22,413,37,27,92,
3810,22,431,37,2,312,
3816,20,716,37,29,253,
3817,19,174,37,9,188,
3822,30,1096,37,18,280,
3832,21,174,37,25,62,
3838,20,174,37,7,13,
3857,19,716,37,9,107,
3857,19,716,37,9,52,
3857,19,716,37,9,53,
3857,19,716,37,9,54,
3874,21,1096,37,1,1,B
3880,27,1012,37,31,481,
3880,27,1012,37,31,435,
3880,27,1012,37,31,302,
3894,26,1012,37,31,87,
3931,17,1012,37,30,279,
3942,32,1012,37,25,384,
3942,32,1012,37,25,385,
3952,27,1012,37,37,135,
3952,27,1012,37,37,331,
3963,29,1012,37,3,3,
3991,24,1012,37,3,3,
4025,28,154,37,7,300,
4030,31,138,37,3,3,S
4039,27,656,37,7,332,
4078,28,413,37,22,333,
4086,22,742,37,22,79,
4093,28,154,37,22,114,
4094,29,507,37,7,29,
4100,33,861,37,18,136,
4140,20,982,37,1,1,
4141,21,1096,37,29,382,
4149,26,416,37,40,346,
4157,23,174,37,9,123,
4157,23,174,37,9,186,
4202,26,1178,37,20,43,G
4209,20,861,37,31,85,
4209,20,861,37,31,86,
4249,23,496,37,18,165,
4264,25,929,37,9,123,
4264,25,929,37,9,107,
4264,25,929,37,9,186,
4264,25,929,37,9,52,
4264,25,929,37,9,54,
4277,19,469,37,27,158,
4315,20,302,37,18,347,
4324,23,174,37,24,56,
4324,23,174,37,24,105,
4346,21,507,37,7,175,
4346,21,507,37,7,13,
4388,27,978,37,16,36,B
4393,26,861,37,22,525,B
4393,26,861,37,22,245,S
4396,36,816,37,11,344,
4398,21,404,37,27,111,
4433,28,66,37,7,300,
4441,NA,1003,37,27,174,
4470,33,1121,37,11,44,
4477,31,978,37,21,120,
4517,26,507,37,7,74,
4517,26,507,37,7,144,S
4532,21,1012,37,27,111,
4543,25,982,37,7,74,
4561,30,66,37,22,112,
4562,41,1019,37,26,233,
4562,41,1019,37,26,234,
4570,22,71,37,32,192,
4570,22,71,37,32,93,
4581,25,978,37,38,137,S
4624,29,770,37,18,254,
4660,21,514,37,7,67,
4663,28,683,37,7,232,
4663,28,683,37,7,145,
4667,28,683,37,7,119,B
4667,28,683,37,7,50,
4673,26,978,37,7,224,
4677,21,978,37,20,43,B
4679,18,978,37,31,302,
4692,29,722,37,7,97,
4692,29,722,37,7,230,
4711,25,154,37,7,117,
4717,30,1150,37,21,45,
4719,21,96,37,9,387,
4719,21,96,37,9,19,
4719,21,96,37,9,188,
4721,26,1014,37,40,346,
4732,22,404,37,7,13,
4750,26,978,37,24,105,G
4758,19,431,37,2,80,
4759,22,433,37,29,75,
4759,22,433,37,29,209,
4770,22,45,37,9,408,
4770,22,45,37,9,409,
4770,22,45,37,9,351,
4770,22,45,37,9,315,
4802,22,514,37,7,103,
4820,22,236,37,27,111,
4830,23,225,37,24,58,
4836,24,138,37,22,157,
4847,23,1178,37,1,1,S
4854,27,482,37,16,88,
4863,17,688,37,9,179,
4863,17,688,37,9,294,
4863,17,688,37,9,169,
4876,26,861,37,22,89,G
4876,26,861,37,22,245,S
4887,20,45,37,31,435,
4890,20,413,37,30,84,
4897,21,1178,37,1,83,S
4909,28,982,37,1,1,
4983,24,1150,37,7,268,
4983,24,1150,37,7,246,
4984,19,602,37,9,408,
4984,19,602,37,9,409,
4989,29,96,37,26,147,
5049,23,225,37,29,75,
5116,24,302,37,38,164,
5129,25,861,37,22,525,B
5129,25,861,37,22,245,S
5137,27,982,37,21,120,
5138,22,1019,37,9,179,
5138,22,1019,37,9,294,
5157,23,1096,37,3,3,
5158,20,66,37,9,185,G
5158,20,66,37,9,15,S
5158,20,66,37,9,108,
5193,31,1012,37,3,3,
5194,21,138,37,11,49,
5205,17,146,37,11,449,
5223,25,66,37,3,3,
5238,22,362,37,17,447,
5239,17,96,37,9,349,
5239,17,96,37,9,350,
5239,17,96,37,9,368,
5239,17,96,37,9,314,
5240,22,96,37,9,107,
5240,22,96,37,9,185,
5240,22,96,37,9,15,
5240,22,96,37,9,53,
5253,31,419,37,20,43,
5258,30,1083,37,7,163,
5264,28,362,37,7,74,
5264,28,362,37,7,144,
5268,28,982,37,7,104,
5268,28,982,37,7,67,
5282,37,1096,37,26,65,
5310,23,825,37,17,118,
5316,27,825,37,27,159,
5317,22,825,37,27,109,
5327,26,978,37,17,151,G
5365,22,978,37,27,174,
5396,23,978,37,13,21,G
5396,23,978,37,13,22,G
5396,23,978,37,13,23,S
5396,23,978,37,13,24,
5396,23,978,37,13,25,G
5396,23,978,37,13,26,G
5396,23,978,37,13,27,
5396,23,978,37,13,28,
5397,25,978,37,7,145,
5447,30,978,37,37,135,
5447,30,978,37,37,331,
5452,17,514,37,30,219,
5452,17,514,37,30,146,
5458,28,514,37,7,103,
5467,25,1096,37,2,2,S
5470,25,514,37,11,449,
5502,25,1121,37,29,75,
5530,50,349,37,11,44,
5537,23,174,37,26,64,
5541,21,66,37,20,43,
5547,31,1096,37,7,12,S
5547,31,1096,37,7,13,G
5576,23,413,37,7,47,
5583,20,621,37,7,104,
5583,20,621,37,7,148,
5583,20,621,37,7,67,
5592,19,1006,37,7,119,
5698,19,861,37,7,300,
5715,29,982,37,25,62,
5722,33,111,37,11,463,
5750,25,154,37,18,441,
5772,23,978,37,21,120,
5777,21,978,37,16,88,G
5789,26,419,37,18,204,
5809,24,1026,37,18,441,
5812,17,413,37,9,368,
5812,17,413,37,9,315,
5814,22,87,37,7,104,
5814,22,87,37,7,148,
